,rf_probability
0,0.535
1,0.0475
2,0.595
3,0.61
4,0.5866666666666666
5,0.605
6,0.0
7,0.9365833333333333
8,0.0
9,0.6171666666666666
10,0.0
11,0.235
12,0.5553333333333333
13,0.6038333333333333
14,0.32391666666666663
15,0.395
16,0.305
17,0.7195
18,0.36855555555555564
19,0.335
20,0.715
21,0.63
22,0.0
23,0.021208333333333336
24,0.0
25,0.765
26,0.64
27,0.43274404761904767
28,0.0
29,0.325
30,0.735
31,0.82625
32,0.0025
33,0.37729166666666664
34,0.45
35,0.58
36,0.0
37,0.0
38,0.0
39,0.815
40,0.07
41,0.300318164248892
42,0.06379364385614383
43,0.67
44,0.835
45,0.185
46,0.15501984126984125
47,0.3145833333333334
48,0.5575
49,0.473
50,0.345
51,0.05708333333333333
52,0.785
53,0.0
54,0.0
55,0.625
56,0.585
57,0.22308333333333333
58,0.0
59,0.8880357142857143
60,0.29925
61,0.455
62,0.5203988095238095
63,0.13
64,0.47916666666666674
65,0.335
66,0.845
67,0.125
68,0.5348611111111111
69,0.1623809523809524
70,0.030809523809523807
71,0.0
72,0.016708465732974364
73,0.0
74,0.18766666666666665
75,0.857
76,0.261167408979909
77,0.44517261904761896
78,0.355
79,0.2783333333333333
80,0.23399999999999999
81,0.385
82,0.56375
83,0.48538888888888887
84,0.4315
85,0.45
86,0.0
87,0.5033333333333333
88,0.03677777777777778
89,0.6082500000000001
90,0.10175000000000001
91,0.26
92,0.5408333333333333
93,0.8225
94,0.0
95,0.6423333333333333
96,0.656861111111111
97,0.26272240513184797
98,0.11
99,0.0
100,0.0
101,0.235
102,0.36275992063492085
103,0.7841666666666666
104,0.05471484888346389
105,0.0
106,0.055
107,0.0848161032079375
108,0.045
109,0.7195833333333335
110,0.0
111,0.4788224830724831
112,0.08625
113,0.33916071428571437
114,0.36035134310134304
115,0.385
116,0.585
117,0.0
118,0.605
119,0.7229166666666668
120,0.016708465732974364
121,0.30666666666666664
122,0.84
123,0.3591666666666667
124,0.7975
125,0.415
126,0.0
127,0.3451865079365079
128,0.10833333333333332
129,0.675
130,0.13119444444444445
131,0.52625
132,0.5704754901960785
133,0.805
134,0.64
135,0.75
136,0.47995821661998145
137,0.613
138,0.021063157894736843
139,0.575
140,0.3416666666666666
141,0.5821666666666667
142,0.0
143,0.435
144,0.195
145,0.88
146,0.4292570346320346
147,0.265
148,0.10613113275613277
149,0.815
150,0.6933333333333335
151,0.3367261904761905
152,0.0
153,0.49
154,0.85
155,0.1
156,0.7543333333333334
157,0.03583841336271004
158,0.26325000000000004
159,0.04265484280530047
160,0.5879166666666668
161,0.4708333333333334
162,0.5445
163,0.4035
164,0.4425
165,0.1787721762572129
166,0.225
167,0.0
168,0.6409999999999999
169,0.58
170,0.5551666666666667
171,0.24350000000000002
172,0.4225
173,0.645
174,0.4116666666666666
175,0.115
176,0.485
177,0.6715000000000001
178,0.12930215639249995
179,0.455
180,0.06
181,0.005555555555555556
182,0.24333333333333335
183,0.5269166666666666
184,0.29766666666666663
185,0.265
186,0.18152475220026612
187,0.24674103391735824
188,0.44433333333333336
189,0.5538333333333333
190,0.355
191,0.7325
192,0.2315833333333333
193,0.3183333333333333
194,0.085
195,0.0
196,0.20416666666666664
197,0.84
198,0.14066819985569984
199,0.2796495310245311
200,0.0
201,0.3472142857142857
202,0.6633333333333333
203,0.40766666666666673
204,0.4275
205,0.19458333333333336
206,0.42658333333333337
207,0.33
208,0.0
209,0.555
210,0.485
211,0.0
212,0.0
213,0.125
214,0.5475
215,0.6525
216,0.5533333333333333
217,0.72725
218,0.645
219,0.25916666666666666
220,0.15616666666666668
221,0.05758685064935065
